,链接,名字,放送类型,评分,中文名,导演,总导演,副导演,放送时间,系列构成,制作公司,脚本,分镜,演出,作画监督,原画,制片人,总集数,评分人数,看过,搁置,弃坑
0,/subject/253,カウボーイビバップ,TV,9.1,星际牛仔,渡辺信一郎,,,1998-10-23,信本敬子,サンライズ,"渡辺信一郎,稲荷昭彦,横手美智子,信本敬子,村井さだゆき,佐藤大,山口亮太","渡辺信一郎,本郷みつる,飯田馬之介,都留稔幸,山内重保,森邦宏,赤根和樹,佐藤順一,武井良幸,山口祐司,佐藤育郎,岡村天斎","山田弘和,森邦宏,武井良幸,佐藤育郎,渡邊哲哉","しんぼたくろう,中田栄治,本橋秀之,菅野宏紀,逢坂浩司,小森高博,竹内浩志,川元利浩,後藤雅巳","逢坂浩司,中田栄治,後藤雅巳,小森高博,杉浦幸次,中村豊,伊藤嘉之,斎藤恒徳,鴨川浩,伊藤岳史,横山彰利,星和伸,大塚健,宮田忠明,吉田徹,川元利浩,菅野宏紀,橋本誠一,富岡隆司,井上英紀,岡真里子,津野田勝敏,入江泰浩,佐藤千春,高橋しんや,伊東伸高,高山朋浩,吉川博明,高見明男,大浪太",南雅彦,26,5430,6052,436,70
1,/subject/326,攻殻機動隊 S.A.C. 2nd GIG,TV,9.1,攻壳机动队 S.A.C. 2nd GIG,神山健治,,,2004-01-01,神山健治,Production I.G,"藤咲淳一,松家雄一郎,大松裕,佐藤大,神山健治,櫻井圭記,菅正太郎","岡村天斎,松本淳,河野利幸,布施木一喜,西村純二,橘正紀,吉原正行,下司泰弘,安藤真裕,平松禎史,神山健治","吉原正行,松本淳,布施木一喜,橘正紀,竹下健一,川崎逸朗,河野利幸","芝美奈子,浅野恭司,小西賢一,西尾鉄也,清水洋,中村悟,丸山宏一,村田俊治,後藤隆幸,新野量太","古屋勝悟,松林唯人,高木弘樹,齋藤卓也,千葉崇洋,古川尚哉,玄馬宣彦,大久保徹,西尾鉄也,芳垣祐介,浅野恭司,青山浩行,平松禎史,松田宗一郎,沖浦啓之,岸田隆宏,伊藤岳史,佐藤雅弘,柿田英樹,塩谷直義,中村悟,小松英司,牧原亮太郎,岩瀧智,森川聡子,堀内博之,井上俊之,安藤雅司,伊藤嘉之,藪野浩二,小倉陳利,千葉崇明,濱洲英喜,松尾慎,鈴木博文,井上鋭","松家雄一郎,国崎久徳",26,3226,3961,195,25
2,/subject/324,攻殻機動隊 STAND ALONE COMPLEX,TV,9.0,攻壳机动队 STAND ALONE COMPLEX,神山健治,,,2002-10-01,神山健治,Production I.G,"神山健治,藤咲淳一,櫻井圭記,菅正太郎,佐藤大,寺戸信寿","河野利幸,橘正紀,吉原正行,神山健治,竹下健一,若林厚史,中村隆太郎,布施木一喜,松本淳,川崎逸朗,安藤真裕","河野利幸,橘正紀,吉原正行,大原実,竹下健一,若林厚史,中村隆太郎,布施木一喜,下司泰弘","玄馬宣彦,浅野恭司,後藤隆幸,須賀重行,海谷敏久,木﨑文智,中村悟,村田俊治,丸山宏一,前田明寿,樋口香里","桝田浩史,安藤真裕,中村豊,竹内哲也,金子秀一,浅野恭司,玄馬宣彦,井上俊之,吉田徹,桑名郁朗,Theresia Whinkler,鈴木博文,高橋英樹,千葉崇洋,古川尚哉,梅津泰臣,大久保徹,佐藤雅弘,橋本敬史,山口明子,高谷浩利,丸山宏一,松林唯人,中山勝一,西井正典,高木弘樹,伊藤良太,坂崎忠",,26,4032,4844,305,52
3,/subject/876,CLANNAD ～AFTER STORY～,TV,8.9,,石原立也,,,2008-10-02,志茂文彦,京都アニメーション,志茂文彦,"北之原孝將,米田光良,坂本一也,石原立也,武本康弘,高雄統子,石立太一,山田尚子","米田光良,北之原孝將,高雄統子,石立太一,山田尚子,坂本一也,石原立也","堀口悠紀子,高橋真梨子,高橋博行,秋竹斉一,池田和美,西屋太志,植野千世子","鴨居知世,高雄統子,石立太一,瀬崎利恵,内藤直",,24,9168,11210,373,127
4,/subject/265,新世紀エヴァンゲリオン,TV,8.9,新世纪福音战士,庵野秀明,,"摩砂雪,鶴巻和哉",1995-10-04,,"GAINAX,タツノコプロ","山口宏,榎戸洋司,磯光雄,樋口真嗣,庵野秀明,薩川昭夫","小黒晃,摩砂雪,庵野秀明,鶴巻和哉,樋口真嗣,岡村天斎,佐藤順一,杉山慶一,石堂宏之,加賀剛","水島精二,大塚雅彦,摩砂雪,増尾昭一,大原実,鶴巻和哉,岡村天斎,杉山慶一,渡邊哲哉,安藤健,高村彰,石堂宏之,加賀剛,羽生尚靖","貞本義行,鈴木俊二,摩砂雪,鶴巻和哉,吉成曜,河口俊夫,長谷川眞也,黄瀬和哉,重田智,本田雄,湖川友謙","後藤圭二,古川尚也,福岡英典,高村和宏,今石洋之,橋本敬史,横山彰利,増尾昭一,松本憲生,長谷川眞也,岡村天斎,摩砂雪,庵野秀明,吉成曜,磯光雄,村木靖,本田雄,平松禎史,鶴巻和哉,吉田健一,中村豊,中山勝一,神戸洋行,永島明子,砂田茂樹,芳尾英明,小野田和由,もといぎひろあき,渡部英雄,湖川友謙,守岡英行,今掛勇,高岡希一,高木弘樹","小林教子,杉山豊",26,10471,13229,362,84
5,/subject/237,GHOST IN THE SHELL / 攻殻機動隊,剧场版,8.9,攻壳机动队,押井守,,,1995-11-18,,Production I.G,伊藤和典,押井守,西久保瑞穂,"沖浦啓之,黄瀬和哉","石井明治,大島康弘,江村豊秋,小村方宏治,江口寿志,川崎博嗣,井上俊之,橋本敬史,田中雄一,吉原正行,伊藤嘉之,黄瀬和哉,村木靖,沖浦啓之,安藤真裕,磯光雄,斉藤哲人,川名久美子,新井浩一,竹内敦志,岡村天斎,大川弘義,荒川眞嗣,濱洲英喜,佐々木守,谷津美弥子,星和伸",,1,3303,4323,128,25
6,/subject/11834,銀魂',TV,8.8,银魂',藤田陽一,,,2011-04-04,大和屋暁,サンライズ,"横手美智子,下山健人,大和屋暁","篠原俊哉,綿田慎也,吉村愛,南康宏,馬引圭","吉村愛,綿田慎也,南康宏,馬引圭",久行宏和,"豊田暁子,青木康哲,阿部慎吾,蛯名秀和,外崎春雄,直谷たかし","東不可止,笹田直樹",51,7297,6189,701,197
7,/subject/6049,新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,剧场版,8.8,新世纪福音战士剧场版 Air/真心为你,鶴巻和哉,庵野秀明,,1997-07-19,,"Production I.G,GAINAX",庵野秀明,"樋口真嗣,摩砂雪,鶴巻和哉,佐藤順一,庵野秀明","鶴巻和哉,大塚雅彦,庵野秀明","黄瀬和哉,本田雄,平松禎史,庵野秀明","河口俊夫,戸倉紀元,磯光雄,杉浦幸次,砂田茂樹,平井久司,庵野秀明,本田雄,石井明治,前田真宏,黄瀬和哉,中山勝一,亀井幹太,安藤真裕,後藤隆幸,小倉陳利,長谷川眞也,鴨川浩,吉成曜,村木靖,平松禎史,摩砂雪,今石洋之,岡村天斎",石川光久,2,5019,6906,58,21
8,/subject/1608,スラムダンク,TV,8.8,灌篮高手,西沢信孝,,松川智充,1993-10-16,岸間信明,東映アニメーション,"岸間信明,菅良幸","西沢信孝,有迫俊彦,明比正行","西沢信孝,有迫俊彦,又野弘道,中村哲治,明比正行,志水淳児,竹之内和久,吉沢孝男,角銅博之","小林利充,林明美,横山健次,大西陽一,近藤優次,直井正博,清山滋崇,加々美高浩,三浦和也,上野ケン,須田正己,板野一郎","細田守,林明美",,101,5155,6480,312,100
9,/subject/247,銀魂,TV,8.8,银魂,"高松信司,藤田陽一",,,2006-04-04,大和屋暁,サンライズ,"大和屋暁,隅沢克之,下山健人,横手美智子","畑博之,吉村愛,西澤晋,宅野誠起,高柳哲司,宮原秀二,西森章,綿田慎也,森脇真琴,宮脇千鶴,松尾衡,大脊戸聡,麦野アイス,馬引圭,南康宏,関野圭一,高木茂樹,菱川直樹","畑博之,松尾衡,宅野誠起,吉村愛,高木茂樹,綿田慎也,宮脇千鶴,南康宏,菱川直樹,馬引圭,森脇真琴,宮原秀二,佐々木忍,大脊戸聡","宮脇千鶴,谷口守泰,杉野昭夫,高橋晃,鈴木竜也,伊東克修,鈴木卓也,佐藤陽子,海老原雅夫,金紀杜,畑智司,斉藤和也,田頭真理恵,片山みゆき,尾形健一郎,神谷友美,渡辺るりこ,石川真理子","鈴木竜也,竹内哲也,常盤健太郎,小島智加,青木康哲,石川てつや,西澤晋,佐久間信一,奥野治男,鈴木卓也,杉谷光一,浅野直之,豊田暁子,もといぎひろあき","笹田直樹,東不可止",201,6850,6943,811,228
10,/subject/1728,るろうに剣心 -明治剣客浪漫譚- 追憶編,OVA,8.8,浪客剑心 追忆篇,古橋一浩,,,2019-02-09,,スタジオディーン,十川誠志,"松本淳,細田守,古橋一浩",清水明,"小林利充,柳沢まさひで,松島晃,中嶋敦子","鈴木博文,松本憲生,松島晃,高木弘樹,高橋和徳,佐藤雅弘,中嶋敦子,阿部卓司,松竹徳幸,櫻井親良,羽山淳一,林明美",,4,2651,3297,90,24
11,/subject/211567,3月のライオン 第2シリーズ,TV,8.8,3月的狮子 第二季,新房昭之,,,2017-10-14,"新房昭之,東冨耶子",SHAFT,木澤行人,"川畑喬,大谷肇,黒沢守,佐伯昭志,大石美絵,岡田堅二朗,吉澤翠","角地拓大,長友孝和,岡田堅二朗,大谷肇,宮西哲也,吉澤翠,三上喜子,川崎ゆたか,佐伯昭志","金正男,斉藤和也,清水勝祐,浅井昭人,林隆祥,山崎敦子,片山みゆき,劉雲留,岩崎たいすけ,野道佳代,北原章雄,高岡希一,西澤真也,松浦力","潮月一也,高橋しんや,杉田柊,中澤勇一,北原章雄,藤井俊郎,浜崎博嗣,名倉靖博,大梶博之,片山学,山口賢一,阿部厳一朗,玉川真吾,守岡英行,砂田茂樹,松本元気",,22,2032,2223,139,39
12,/subject/1428,鋼の錬金術師 FULLMETAL ALCHEMIST,TV,8.8,钢之炼金术师 FULLMETAL ALCHEMIST,入江泰浩,,,2009-04-05,大野木寛,BONES,"水上清資,大野木寛,土屋理敬,菅正太郎,津村米紀","富沢信雄,大原実,寺東克己,池添隆博,大久保政雄,佐藤清光,石平信司,大橋誉志光,タムラコータロー,難波日登志,矢野雄一郎,矢吹勉,十文字糺,福田道生,安藤真裕,寺岡巌,迫井政行,入江泰浩,三沢伸","田中孝行,友永和秀,三宅和男,小山田桂子,佐藤育郎,宮原秀二,石田暢,上田繁,博史池畠,内田信吾,末田宜史,荻原露光,池添隆博,筑紫大介,清水久敏,園田雅裕,佐藤清光,矢吹勉","橋本和紀,関口亮輔,滝口禎一,大城勉,竹知仁美,田中裕介,飯島弘也,原田峰文,柴田淳,青野厚司,堀川耕一,大貫健一,菅野宏紀,佐古宗一郎,鈴木勘太,野口寛明,白井裕美子,小林祐,小澤円,川上哲也,五月二一,畑智司,野田康行,永作友克,石野聡,塚本知代美,大城勝,古俣太一,安藤正浩","小木曽伸吾,水畑健二,伊藤秀次,土屋祐太,外崎春雄,阿部慎吾,近岡直,柴田勝紀,小松英司,川元利浩,瀬川真矢,赤井俊文,中村豊,杉浦幸次,羽山淳一,りょーちも,福島宏之,沈宏,林隆祥,岡田万衣子,桑名郁朗,寺岡巌,浅野直之,松林唯人,井川麗奈,滝口禎一,朴性厚,岩崎たいすけ,堀内博之,田代雅子,なかじまちゅうじ,木曽勇太,いまざきいつき,まじろ,仲盛文,胡拓磨,入江泰浩,秦綾子,宇佐美皓一,山口賢一,古俣太一,馬場充子,國行由里江,石川てつや,友永和秀,中澤勇一,夏目真悟,矢吹勉,崎山北斗,伊藤嘉之,奥田淳,田中宏紀,重田智,林勇雄,石原恵治,高橋賢,木村貴宏,亀田祥倫,横堀久雄,冨岡寛,栗田新一,新井淳,川上哲也,福岡英典,鴨川浩,菅野宏紀,北川隆之,山田誠,橋本浩一,小松勇輝,高橋しんや,光田史亮,原田大基,雨宮哲,米澤優,永作友克,若林信,松田宗一郎,砂川正和,大塚健,松島晃,藤井慎吾,小島崇史,吉原達矢,西田亜沙子,飯飼一幸,青木哲朗,道解慎太郎,沼田誠也,石野聡,やぐちひろこ,小田裕康,新井伸浩,佐古宗一郎,岩瀧智,佐々木貴宏,吉田徹,りぱ,黒田結花,安藤正浩,芳尾英明,山田憲一,小野田和由",丸山博雄,64,7708,9149,490,94
